Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
1. Good,1/1/15,10,rent,Consumer,67,Bank of America,1900,34500,69.7,376575.5338,Yes
1. Good,12/31/14,2,rent,Business,51,HSBC,,2695.32,1.88,446252.9812,Yes
1. Good,12/30/14,9,rent,Business,32.6,,,0,0,179330.3425,Yes
1. Good,12/29/14,4,mortgage,Consumer,43.7,Foreign Bank,1500,0,0,160715.7365,Yes
1. Good,12/28/14,10,mortgage,Consumer,34.1,Bank of America,1919,0,0,250171.4029,Yes
1. Good,12/27/14,3,mortgage,Consumer,32.7,Citigroup,1429.13,14099.4,25.2,157027.203,Yes
1. Good,12/26/14,,mortgage,Business,45.3,The Bank of New York Mellon,,931.41,2.52,146819.1287,Yes
1. Good,12/25/14,10,rent,Consumer,30.4,Bank of America,2160,25009.17,30,373236.2455,No
1. Good,12/24/14,10,mortgage,Business,45.9,Wells Fargo,,2427.72,2.07,389194.7405,Yes
1. Good,12/23/14,10,rent,Business,49.6,Foreign Bank,,1098.42,2,149682.7796,Yes
1. Good,12/22/14,6,mortgage,Business,43.3,JPMorgan Chase,,22604.4,30,255437.6974,Yes
1. Good,12/21/14,2,rent,Consumer,36.4,,2000,8400,14.21,111379.2682,Yes
1. Good,12/20/14,0,rent,Business,51.6,,,1704.15,2.08,240047.0378,Yes
1. Good,12/19/14,10,mortgage,Consumer,59.6,,2290,41700,60.7,489225.035,Yes
1. Good,12/18/14,3,mortgage,Business,52.5,,,1629.81,2.18,200300.0764,Yes
1. Good,12/17/14,7,rent,Business,40.8,HSBC,,1457.28,1.76,216543.6733,Yes
2. Average,12/16/14,2,rent,Consumer,31.3,JPMorgan Chase,3150,0,0,146404.0101,Yes
2. Average,12/15/14,0,rent,Consumer,53,,4850,24750,36.18,298237.4195,Yes
2. Average,12/14/14,2,rent,Consumer,36.8,Bank of America,1972,0,0,132103.5337,Yes
2. Average,12/13/14,5,rent,Consumer,39.3,,2390,0,0,155067.4296,Yes
1. Good,12/12/14,,mortgage,Business,46.3,The Bank of New York Mellon,,2268.27,2.36,366951.21,Yes
1. Good,12/11/14,7,mortgage,Consumer,50.6,Citigroup,3000,27252,30,321735.5045,Yes
1. Good,12/10/14,1,rent,Consumer,52.1,,1537,0,0,170490.5624,Yes
2. Average,12/9/14,5,rent,Consumer,37.7,Wells Fargo,2600,13518,18.39,162821.0997,Yes
1. Good,12/8/14,10,rent,Consumer,68.1,PNC,2190,44100,63.91,621313.8354,Yes
1. Good,12/7/14,7,mortgage,Consumer,68.2,Citigroup,2006,27119.4,35,289630.2802,Yes
1. Good,12/6/14,,own,Business,40.3,,,0,0,249606.9812,Yes
1. Good,12/5/14,5,mortgage,Business,63.8,Wells Fargo,,1849.32,2.57,219141.4459,Yes
1. Good,12/4/14,10,mortgage,Consumer,22.9,Bank of America,1500,15000,34.63,196853.3598,No
1. Good,12/3/14,10,rent,Consumer,45.1,Bank of America,5439,10800,18.88,148318.3256,Yes
1. Good,12/2/14,5,mortgage,Business,45.9,HSBC,,2249.43,1.91,349904.3079,Yes
1. Good,12/1/14,5,mortgage,Consumer,58.2,Foreign Bank,1400,17580,39.43,253667.4937,Yes
1. Good,11/30/14,10,mortgage,Business,37.8,HSBC,,830.67,0.9,405779.2914,Yes
1. Good,11/29/14,5,rent,Consumer,69.6,JPMorgan Chase,2750,0,0,167827.8102,Yes
1. Good,11/28/14,10,rent,Consumer,59.1,Wells Fargo,7000,48000,76.19,517517.8994,Yes
2. Average,11/27/14,10,mortgage,Business,44.2,,,1888.05,2.83,337591.1875,Yes
1. Good,11/26/14,10,mortgage,Consumer,50,PNC,1600,55168.38,78.62,676747.0311,Yes
1. Good,11/25/14,10,mortgage,Business,55,,,1530.93,2,174835.6233,Yes
1. Good,11/24/14,3,rent,Consumer,23.9,Wells Fargo,1777,12600,15.22,169569.9071,Yes
1. Good,11/23/14,9,own,Business,36.4,,,1431.42,2.23,163012.1605,Yes
1. Good,11/22/14,,mortgage,Business,45.3,,,2380.2,2.02,405495.1036,Yes
2. Average,11/21/14,10,mortgage,Consumer,34.3,The Bank of New York Mellon,1127.42,25383,36.06,273600.4681,Yes
1. Good,11/20/14,9,rent,Consumer,29.9,HSBC,2350.32,1740,2.57,250646.4958,Yes
1. Good,11/19/14,3,rent,Business,59.3,Wells Fargo,,1811.79,1.65,304786.2512,Yes
1. Good,11/18/14,,own,Consumer,33.2,The Bank of New York Mellon,2100,0,0,335960.445,Yes
1. Good,11/17/14,10,mortgage,Consumer,47.2,JPMorgan Chase,9700,103200.12,87.3,1419640.301,Yes
1. Good,11/16/14,5,rent,Consumer,59.7,Citigroup,2000,17907,35.6,265941.8934,Yes
2. Average,11/15/14,1,own,Business,31.8,,,0,0,138526.2247,Yes
1. Good,11/14/14,0,own,Consumer,57.4,PNC,1200,3900,11.26,48944.57159,Yes
1. Good,11/13/14,4,rent,Business,35.9,HSBC,,15085.83,20,151460.1329,Yes
1. Good,11/12/14,10,mortgage,Consumer,24.5,,2003,0,0,294347.1853,Yes
1. Good,11/11/14,3,own,Business,57.5,,,1566.48,2.11,262094.0251,Yes
1. Good,11/10/14,0,own,Business,43.9,,,3333.39,2.09,452539.421,Yes
3. Risk,11/9/14,6,own,Business,52.9,Wells Fargo,,1692.96,1.75,274578.8111,Yes
1. Good,11/8/14,10,rent,Consumer,27.7,Bank of America,1800,19199.22,33.51,266491.1624,Yes
1. Good,11/7/14,5,mortgage,Consumer,62,Wells Fargo,4500,0,0,153138.1861,Yes
1. Good,11/6/14,10,mortgage,Consumer,52.6,,3068,87804,85.41,1210270.611,Yes
1. Good,11/5/14,2,rent,Consumer,30.1,,0,9113.52,10,99609.05356,Yes
1. Good,11/4/14,2,own,Business,37.7,HSBC,,8861.19,16.88,127631.6373,Yes
2. Average,11/3/14,0,mortgage,Consumer,46.8,The Bank of New York Mellon,2150,1956,2.36,287058.0666,Yes
2. Average,11/2/14,4,mortgage,Consumer,32.3,PNC,3606,0,0,186624.2573,Yes
3. Risk,11/1/14,10,mortgage,Business,35.1,,,3811.5,2.31,38776.27159,Yes
1. Good,10/31/14,,rent,Consumer,82.3,The Bank of New York Mellon,2020,84597,91.86,1110586.926,Yes
1. Good,10/30/14,3,rent,Consumer,41.3,,2137,12000.57,14.94,157639.1021,Yes
1. Good,10/29/14,9,mortgage,Consumer,25.8,,1200,0,0,174231.8725,Yes
1. Good,10/28/14,10,mortgage,Consumer,46.7,Citigroup,2300,53829,42.78,577412.9735,Yes
2. Average,10/27/14,1,rent,Consumer,25.2,Bank of America,2017,9000,15.38,114154.7778,Yes
1. Good,10/26/14,10,mortgage,Consumer,35.5,Bank of America,1920,52140,81.29,658627.7835,Yes
1. Good,10/25/14,3,mortgage,Business,43.8,,,1785.96,2.76,233039.7815,Yes
1. Good,10/24/14,1,own,Consumer,39.9,Citigroup,0,5399.82,15.72,79421.35424,Yes
1. Good,10/23/14,3,rent,Consumer,55.7,Foreign Bank,2912,12000,37.56,162395.0241,Yes
2. Average,10/22/14,6,own,Consumer,36.6,,808.33,58812,52.13,874522.1241,Yes
1. Good,10/21/14,10,mortgage,Business,42.3,,,893.76,2.12,379754.42,Yes
3. Risk,10/20/14,10,mortgage,Consumer,30.7,,2201,5561.4,10,60386.01391,No
1. Good,10/19/14,10,rent,Business,44.7,Citigroup,,1011.45,1.47,170490.5624,Yes
1. Good,10/18/14,1,own,Consumer,27.3,HSBC,1504,5490,10,60391.49395,Yes
1. Good,10/17/14,10,own,Consumer,68.9,Bank of America,1500,8064,23.91,98954.66014,Yes
1. Good,10/16/14,0,own,Consumer,36.7,,2000,3000,8.33,393728.5226,No
1. Good,10/15/14,3,own,Consumer,33.7,Wells Fargo,2000,13147.47,14.35,157953.9784,Yes
1. Good,10/14/14,3,mortgage,Business,36.3,Foreign Bank,,10287.9,14,125114.1421,Yes
2. Average,10/13/14,1,mortgage,Consumer,29.8,Citigroup,1664,4500,12.14,57296.847,Yes
1. Good,10/12/14,3,rent,Consumer,68.4,Citigroup,3113.62,12002.88,15.48,170490.5624,Yes
1. Good,10/11/14,3,rent,Consumer,42.3,,3200,12690,30,158534.2858,Yes
1. Good,10/10/14,7,rent,Consumer,62.8,Citigroup,2750,27866.97,65.01,408134.0524,Yes
1. Good,10/9/14,10,rent,Consumer,29.8,Bank of America,1500,10029.72,21.79,134092.0758,Yes
2. Average,10/8/14,10,mortgage,Consumer,41.6,Bank of America,2500,115800.3,63.92,1460986.33,Yes
1. Good,10/7/14,7,own,Consumer,42.9,,1700,27004.53,28.43,273783.1086,Yes
1. Good,10/6/14,7,mortgage,Business,33.3,PNC,,29092.5,15,384005.3588,Yes
1. Good,10/5/14,3,rent,Consumer,69.5,,1300,11970,44.38,146819.1287,Yes
1. Good,10/4/14,0,own,Business,52.6,,,4478.28,2.35,53907.58574,Yes
1. Good,10/3/14,,mortgage,Consumer,50.3,The Bank of New York Mellon,3050,18600,71.26,225353.0481,Yes
1. Good,10/2/14,,rent,Business,58.3,Bank of America,,2411.76,2.94,313825.8946,Yes
1. Good,10/1/14,0,rent,Consumer,38.3,,7900,1822.02,1.95,289427.5556,Yes
1. Good,9/30/14,3,mortgage,Consumer,26.7,Citigroup,951,13500,37.5,192684.2781,Yes
1. Good,9/29/14,10,rent,Consumer,39.9,,3700,84000,78.87,1193931.089,Yes
1. Good,9/28/14,10,mortgage,Consumer,46.8,Bank of America,1925.37,22635,60.14,261910.0271,Yes
1. Good,9/27/14,0,own,Consumer,46.8,Citigroup,1100,4140,18.7,61400.12629,Yes
1. Good,9/26/14,8,rent,Consumer,62.8,PNC,1700,31410,41.76,323699.4767,Yes
1. Good,9/25/14,1,own,Consumer,45.3,,1400,5997.69,9.26,77590.33952,Yes
1. Good,9/24/14,10,rent,Consumer,75.8,PNC,1370,59820,66.6,621387.3309,Yes
1. Good,9/23/14,7,rent,Consumer,22.8,Citigroup,1200,28800,62.33,290414.6823,Yes
1. Good,9/22/14,5,mortgage,Consumer,59.8,,2200,17995.5,19.35,207587.4421,Yes
2. Average,9/21/14,4,mortgage,Consumer,35.2,PNC,2854.2,10500,14.46,125617.2286,Yes
1. Good,9/20/14,10,mortgage,Consumer,48.6,Wells Fargo,2050,0,0,312971.8427,Yes
3. Risk,9/19/14,5,rent,Consumer,41.1,,3426,14100,10.28,188027.6962,Yes
1. Good,9/18/14,6,own,Consumer,45.3,HSBC,1900,0,0,200598.7883,Yes
2. Average,9/17/14,10,mortgage,Consumer,39.3,,2630,6600,10,77869.7723,Yes
1. Good,9/16/14,0,own,Business,39,HSBC,,3488.49,2.15,450158.2338,Yes
1. Good,9/15/14,6,rent,Consumer,33.7,Citigroup,1584,21603.3,30.91,218229.4288,Yes
2. Average,9/14/14,0,rent,Consumer,26.6,Bank of America,1590,7500,23.81,79124.61752,Yes
1. Good,9/13/14,10,mortgage,Consumer,49.9,Wells Fargo,1752,0,0,312062.4897,Yes
1. Good,9/12/14,5,mortgage,Business,40.3,,,16511.88,23.05,187063.3747,Yes
1. Good,9/11/14,3,mortgage,Business,34.8,,,2589.45,2.4,446820.8245,Yes
1. Good,9/10/14,10,rent,Consumer,34.1,Citigroup,1200,48900,76.53,517395.5106,No
1. Good,9/9/14,3,rent,Business,57.2,JPMorgan Chase,,2318.7,2.27,323963.537,Yes
1. Good,9/8/14,10,rent,Consumer,47.6,Bank of America,1600,36045,82.77,418632.6667,Yes
1. Good,9/7/14,0,own,Consumer,25.8,,1050,3300,7.32,402618.7441,Yes
1. Good,9/6/14,5,rent,Business,34,,,1100.7,3.15,170420.8567,Yes
1. Good,9/5/14,1,own,Consumer,22.6,Citigroup,1380,4791,12.19,48412.64503,Yes
1. Good,9/4/14,6,mortgage,Consumer,42,JPMorgan Chase,1566,22790.34,25.2,242700.0494,Yes
2. Average,9/3/14,10,rent,Business,25.4,Bank of America,,3421.35,1.85,484157.8648,Yes
2. Average,9/2/14,1,rent,Consumer,43.8,PNC,1743,0,0,170465.6585,Yes
1. Good,9/1/14,0,own,Business,35.2,HSBC,,4067.25,4.93,52473.37621,Yes
1. Good,8/31/14,,mortgage,Consumer,26,The Bank of New York Mellon,1700,63735,73.91,918434.753,Yes
2. Average,8/30/14,,mortgage,Business,37.8,,,0,0,252628.114,Yes
2. Average,8/29/14,8,mortgage,,,,0,2106.81,2.89,298237.4195,Yes
1. Good,8/28/14,1,own,Consumer,55.7,,1800,7185,11.86,76050.35809,No
1. Good,8/27/14,10,mortgage,Consumer,26.7,Bank of America,1568,44790,85.66,664916.9343,Yes
2. Average,8/26/14,1,rent,Consumer,56.2,,1024,0,0,175678.9337,Yes
3. Risk,8/25/14,7,mortgage,Consumer,37.2,Citigroup,5654,0,0,211284.3518,Yes
1. Good,8/24/14,10,rent,Consumer,25,Bank of America,1625,22035,39.61,265901.4733,Yes
1. Good,8/23/14,5,own,Consumer,35.5,,1100,20025,62.53,286475.8973,Yes
2. Average,8/22/14,0,rent,Consumer,20.8,Citigroup,1950,7200,10.02,97549.87065,No
1. Good,8/21/14,5,rent,Consumer,45.3,,2600,16500,9.09,177149.0705,Yes
2. Average,8/20/14,2,rent,Consumer,39.2,,2300,0,0,137547.2917,Yes
2. Average,8/19/14,1,rent,Consumer,26.4,Bank of America,1750,888.51,2.05,418201.0757,Yes
1. Good,8/18/14,8,mortgage,Business,65.2,,,0,0,213124.8817,Yes
1. Good,8/17/14,5,mortgage,Consumer,55.4,Citigroup,2200,17055,25,209014.7312,Yes
2. Average,8/16/14,10,rent,Consumer,26.8,The Bank of New York Mellon,2150,0,0,201758.1332,Yes
2. Average,8/15/14,3,mortgage,Consumer,53.2,,1458,0,0,195876.1033,Yes
1. Good,8/14/14,10,mortgage,Consumer,37.8,HSBC,0,66468,71.11,980767.2985,Yes
1. Good,8/13/14,,own,Consumer,33.6,The Bank of New York Mellon,2044,9000.3,25.62,114110.2638,Yes
1. Good,8/12/14,2,rent,Consumer,52.8,,2000,8025,18.23,98974.5838,Yes
1. Good,8/11/14,9,rent,Consumer,28.3,JPMorgan Chase,,0,0,228991.7585,Yes
1. Good,8/10/14,10,own,Consumer,66.8,US Bancorp,2800,42000,50.45,483260.0476,Yes
2. Average,8/9/14,0,rent,Consumer,31.8,,2400,4470,5.62,55084.94363,Yes
3. Risk,8/8/14,10,rent,Consumer,48.9,,2100,11400,20.11,164519.5463,Yes
1. Good,8/7/14,10,mortgage,Consumer,74.6,Wells Fargo,3064,57708,86.51,758390.7005,Yes
3. Risk,8/6/14,4,rent,Consumer,30.3,Citigroup,2760,0,0,191401.5176,Yes
1. Good,8/5/14,10,rent,Consumer,33.8,Citigroup,15180,0,0,283837.528,Yes
1. Good,8/4/14,5,rent,Consumer,61.8,HSBC,2005,19242.3,35,205113.919,Yes
1. Good,8/3/14,6,rent,Consumer,27,PNC,1000,25200,40.19,341313.5723,Yes
1. Good,8/2/14,10,mortgage,Consumer,55.9,Citigroup,4400,52800,68.75,569768.5885,Yes
1. Good,8/1/14,10,mortgage,Consumer,36.9,PNC,2800,54000,65.72,809046.2536,Yes
1. Good,7/31/14,5,rent,Business,68,HSBC,,1332.06,2.31,167827.8102,Yes
2. Average,7/30/14,4,mortgage,Consumer,53.1,Citigroup,2870,0,0,174119.6701,Yes
1. Good,7/29/14,7,own,Business,35.1,,,2797.14,2.4,404055.01,Yes
3. Risk,7/28/14,10,mortgage,Consumer,36.8,Wells Fargo,2007,30000,57.81,399732.2893,Yes
3. Risk,7/27/14,9,rent,Business,56.1,Bank of America,,1220.46,1.73,189714.5787,Yes
1. Good,7/26/14,0,own,Business,37.6,,,3438.75,2.84,410818.7913,Yes
1. Good,7/25/14,0,own,Consumer,69.6,,,3160.74,2.2,384190.3855,Yes
1. Good,7/24/14,10,rent,Consumer,52,Bank of America,2600,60060,80.02,644716.438,Yes
2. Average,7/23/14,10,rent,Consumer,32.9,Foreign Bank,2998,8696.16,11,96572.38296,Yes
1. Good,7/22/14,,own,Consumer,48.1,The Bank of New York Mellon,6000,10503.21,10.9,124521.6947,Yes
1. Good,7/21/14,3,rent,Business,39.4,,,13779.03,23.44,165399.0557,Yes
1. Good,7/20/14,10,rent,Consumer,48.3,,1500,1098,2.5,161165.973,Yes
2. Average,7/19/14,9,rent,Consumer,28.1,Foreign Bank,2591,0,0,173479.1171,Yes
1. Good,7/18/14,5,mortgage,Consumer,38.3,JPMorgan Chase,3500,19434,28.19,288605.385,Yes
1. Good,7/17/14,10,mortgage,Consumer,49.9,,7500,58125,88.57,650617.4324,Yes
1. Good,7/16/14,9,mortgage,Consumer,60.3,HSBC,3600,38700,76.33,450667.9997,Yes
1. Good,7/15/14,,mortgage,Consumer,62.8,The Bank of New York Mellon,700,12000,42.19,177476.1154,No
1. Good,7/14/14,10,mortgage,Consumer,36.1,,1515,0,0,246647.0962,Yes
1. Good,7/13/14,7,rent,Consumer,30.4,JPMorgan Chase,1940,26826,64.14,271315.7298,No
1. Good,7/12/14,1,own,Consumer,26.9,JPMorgan Chase,1500,6000.24,11.73,82654.29875,Yes
1. Good,7/11/14,,rent,Business,35.4,The Bank of New York Mellon,,1207.5,2.21,199039.3429,Yes
1. Good,7/10/14,2,rent,Consumer,44.7,Wells Fargo,1850,8995.8,10.34,98749.81047,Yes
1. Good,7/9/14,10,mortgage,Consumer,27.7,JPMorgan Chase,1400,0,0,234332.5177,Yes
2. Average,7/8/14,5,mortgage,Business,71.8,,,625.47,0.79,366951.21,Yes
1. Good,7/7/14,4,rent,Business,38.5,,,474.87,1.46,257582.5338,Yes
2. Average,7/6/14,7,rent,Business,31.1,,,2253.27,2.94,324105.1328,Yes
1. Good,7/5/14,4,own,Consumer,33.3,Foreign Bank,0,14862,49.77,189714.5787,No
1. Good,7/4/14,5,own,Consumer,21.5,,1500,0,0,208464.3093,Yes
1. Good,7/3/14,10,rent,Business,58.8,HSBC,,1493.79,2.51,187063.3747,Yes
1. Good,7/2/14,3,rent,Consumer,47.4,Citigroup,1100,10995,19.12,119516.8571,Yes
1. Good,7/1/14,0,own,Consumer,59.2,Citigroup,0,3600,4.37,450667.9997,Yes
1. Good,6/30/14,8,own,Consumer,52.5,,6600,30191.85,19.85,306842.3559,Yes
2. Average,6/29/14,9,mortgage,Consumer,29.4,PNC,1697,23100.24,29.73,295027.2158,Yes
1. Good,6/28/14,10,mortgage,Business,42.4,US Bancorp,,1919.4,2.01,240334.9437,Yes
1. Good,6/27/14,8,rent,Consumer,41,Foreign Bank,1792,31500,42.71,423613.6989,Yes
2. Average,6/26/14,10,mortgage,Consumer,28.1,Foreign Bank,2209.07,6000,10.7,89621.77628,Yes
1. Good,6/25/14,7,mortgage,Consumer,33.6,,2200,28723.8,35,420509.8849,Yes
1. Good,6/24/14,10,own,Consumer,30.6,Citigroup,1700,60750,89.01,814894.0045,Yes
1. Good,6/23/14,10,own,Consumer,55.6,Bank of America,1746,4502.88,4.24,58367.47637,Yes
1. Good,6/22/14,5,mortgage,Consumer,38.7,,2750,1530.09,1.66,209626.6338,Yes
2. Average,6/21/14,10,rent,Consumer,35.7,PNC,3000,12000,15.09,175678.9337,Yes
2. Average,6/20/14,10,mortgage,Consumer,24.1,Citigroup,2130,0,0,238560.5766,Yes
1. Good,6/19/14,,mortgage,Business,42.3,The Bank of New York Mellon,,625.08,1.88,333593.5457,Yes
1. Good,6/18/14,8,mortgage,Consumer,28.8,,1300,30951,56.32,363306.3244,Yes
1. Good,6/17/14,5,rent,Consumer,44.9,Citigroup,1200,17700,66.29,225923.598,Yes
1. Good,6/16/14,10,mortgage,Consumer,68.4,Wells Fargo,2500,91500,75.31,1215735.406,Yes
1. Good,6/15/14,5,mortgage,Business,46.2,US Bancorp,,931.41,2.52,171585.9472,Yes
1. Good,6/14/14,10,mortgage,Consumer,51,Bank of America,2000,7725,17.6,104399.66,Yes
1. Good,6/13/14,6,mortgage,Consumer,31.7,,760,21637.98,26.42,279917.29,Yes
1. Good,6/12/14,10,mortgage,Consumer,55.5,Bank of America,4000,42000,82.35,461370.9565,Yes
1. Good,6/11/14,9,mortgage,Business,41.6,,,1835.91,1.89,316290.9521,Yes
1. Good,6/10/14,10,own,Consumer,29.2,HSBC,2300,0,0,286475.8973,Yes
1. Good,6/9/14,6,rent,Consumer,51.6,Citigroup,2000,1283.4,2.18,224730.2971,Yes
1. Good,6/8/14,5,mortgage,Consumer,33.3,,1050,20172,28.69,240047.0378,Yes
1. Good,6/7/14,5,mortgage,Business,47.8,Wells Fargo,,878.22,2.38,384005.3588,Yes
1. Good,6/6/14,,rent,Consumer,58.7,The Bank of New York Mellon,1300,5025,11.04,55927.48968,No
1. Good,6/5/14,7,mortgage,Business,47.8,Wells Fargo,,878.22,2.38,343115.076,Yes
1. Good,6/4/14,10,rent,Consumer,31.2,Bank of America,1740,0,0,219141.4459,Yes
1. Good,6/3/14,5,mortgage,Business,58.4,HSBC,,1755.87,1.84,277682.2638,Yes
1. Good,6/2/14,10,rent,Consumer,26.7,HSBC,1800,52575,78.85,567179.9685,Yes
1. Good,6/1/14,4,rent,Business,50.6,,,731.49,1.95,323855.9703,Yes
1. Good,5/31/14,10,mortgage,Business,53.8,,,1901.28,2.21,242700.0494,Yes
1. Good,5/30/14,2,mortgage,Business,30.2,Foreign Bank,,8675.4,15.58,108393.2854,Yes
1. Good,5/29/14,3,own,Consumer,45,,7200,0,0,210600.2306,Yes
1. Good,5/28/14,10,rent,Consumer,43.5,Wells Fargo,17682,143100.99,95.35,1543821.653,Yes
2. Average,5/27/14,0,own,Consumer,39.8,JPMorgan Chase,2200,0,0,169015.0481,Yes
1. Good,5/26/14,1,own,Consumer,26.8,Citigroup,1952,5996.85,9.32,63973.51985,Yes
1. Good,5/25/14,10,mortgage,Business,58.8,HSBC,,1742.76,1.58,216919.0798,Yes
1. Good,5/24/14,10,mortgage,Consumer,38.5,Wells Fargo,2345.22,0,0,277682.2638,Yes
1. Good,5/23/14,10,rent,Consumer,54.9,US Bancorp,2900,62700,67.64,828991.6407,Yes
1. Good,5/22/14,1,mortgage,Business,47,HSBC,,6915,4.61,70440.35682,Yes
1. Good,5/21/14,3,rent,Consumer,24.3,,1300,11886.3,16.86,171585.9472,No
2. Average,5/20/14,10,mortgage,Business,56.1,,,4436.7,1.93,46191.56493,Yes
2. Average,5/19/14,10,mortgage,Consumer,31.8,Wells Fargo,1200,2550,10,407157.537,Yes
1. Good,5/18/14,2,own,Consumer,56.2,US Bancorp,3000,896.82,2.44,407157.537,Yes
2. Average,5/17/14,0,rent,Consumer,52.6,,2310,0,0,139781.2126,Yes
1. Good,5/16/14,0,own,Business,65.7,Foreign Bank,,3582.36,2.08,481503.6325,Yes
1. Good,5/15/14,10,mortgage,Consumer,62,,0,81690,90.08,847477.6246,No
1. Good,5/14/14,10,rent,Business,44.1,Wells Fargo,,994.74,2.14,177229.506,Yes
1. Good,5/13/14,6,mortgage,Business,52.2,,,1689.24,1.61,248204.0204,Yes
2. Average,5/12/14,4,mortgage,Consumer,23.2,,2218,12000,18.6,129636.308,Yes
1. Good,5/11/14,6,rent,Consumer,39,,5986,23625,16.08,310745.3522,No
1. Good,5/10/14,,mortgage,Consumer,39,The Bank of New York Mellon,3313,7500,20.91,91351.34383,No
2. Average,5/9/14,10,mortgage,Consumer,31.5,JPMorgan Chase,3100,142000.96,78.13,1569707.691,Yes
1. Good,5/8/14,1,mortgage,Consumer,46.3,,0,1506.99,2.11,214686.5297,Yes
1. Good,5/7/14,10,own,Consumer,43.7,Bank of America,2800,19800,28.16,220487.5524,Yes
1. Good,5/6/14,10,rent,Consumer,20.1,Bank of America,900,9633,21.11,138732.2797,No
1. Good,5/5/14,10,rent,Consumer,63.8,Bank of America,3000,29400,66.22,436688.6929,Yes
1. Good,5/4/14,7,own,Consumer,23.8,,1800,0,0,226439.7557,Yes
1. Good,5/3/14,1,rent,Consumer,34.9,Wells Fargo,2300,6300,9.34,92867.30814,Yes
1. Good,5/2/14,10,rent,Consumer,23.7,Bank of America,1600,29619,40.88,332101.0727,Yes
2. Average,5/1/14,8,mortgage,Consumer,50.3,Bank of America,2910,33519,20.17,448703.4492,Yes
3. Risk,4/30/14,6,rent,Consumer,29.8,US Bancorp,3000,19667.73,21.74,206106.3169,No
1. Good,4/29/14,,own,Consumer,32.8,The Bank of New York Mellon,5955,2399.16,1.93,292596.7086,Yes
1. Good,4/28/14,10,own,Consumer,35.7,Bank of America,1100,15495,40.78,163012.1605,Yes
1. Good,4/27/14,0,own,Business,41,Wells Fargo,,3330.12,1.8,353749.7697,Yes
1. Good,4/26/14,10,mortgage,Consumer,46.7,,900,0,0,286532.6142,No
1. Good,4/25/14,10,rent,Consumer,53.9,Citigroup,8700,63000,75,637109.1215,Yes
1. Good,4/24/14,6,mortgage,Business,52.8,,,0,0,163012.1605,Yes
1. Good,4/23/14,3,rent,Consumer,22.3,,1300,0,0,189714.5787,Yes
1. Good,4/22/14,10,rent,Consumer,46.4,,1120,0,0,303042.5436,Yes
1. Good,4/21/14,,mortgage,Business,64.6,Bank of America,,1736.91,2.75,294670.4787,Yes
1. Good,4/20/14,10,rent,Consumer,56.3,HSBC,4200,44397,85.54,643820.5242,Yes
1. Good,4/19/14,2,own,Consumer,22,,1700,7950,16.99,104401.6379,Yes
1. Good,4/18/14,7,mortgage,Consumer,41.1,HSBC,12400,29037.15,15,325822.1832,Yes
1. Good,4/17/14,1,rent,Business,57.4,JPMorgan Chase,,1610.43,2.74,183697.9728,Yes
1. Good,4/16/14,8,own,Consumer,39.8,,1400,33000,48.01,372356.1253,Yes
1. Good,4/15/14,6,rent,Consumer,44.9,HSBC,1073,21600,31.58,297718.4182,Yes
1. Good,4/14/14,9,mortgage,Consumer,72.8,JPMorgan Chase,3135,0,0,214686.5297,Yes
1. Good,4/13/14,6,own,Consumer,33.5,Citigroup,3000,884.55,2.4,389194.7405,Yes
1. Good,4/12/14,9,rent,Consumer,55.8,HSBC,2900,36840,45.01,410818.7913,Yes
2. Average,4/11/14,3,rent,Consumer,42.9,PNC,3237,35925,48.38,479784.9882,Yes
3. Risk,4/10/14,10,rent,Business,27,Wells Fargo,,4238.01,2.27,50408.70167,Yes
1. Good,4/9/14,0,mortgage,Consumer,41.6,JPMorgan Chase,4000,0,0,144651.3708,Yes
2. Average,4/8/14,10,rent,Business,44.2,,,0,0,206007.6891,Yes
1. Good,4/7/14,3,rent,Consumer,33.7,Citigroup,1800,12300,21.47,181904.1827,No
1. Good,4/6/14,,mortgage,Consumer,44.5,The Bank of New York Mellon,4209.74,12001.26,14.39,129424.2768,Yes
1. Good,4/5/14,5,mortgage,Consumer,60.7,,2412,0,0,196853.3598,Yes
1. Good,4/4/14,10,mortgage,Consumer,51,,5000,63600,87.6,787336.2567,Yes
1. Good,4/3/14,,own,Business,27.1,PNC,,1200.15,2.15,198755.6328,Yes
1. Good,4/2/14,5,rent,Consumer,39.1,Citigroup,0,16500,20.61,167137.3879,Yes
1. Good,4/1/14,1,rent,Business,58.8,Wells Fargo,,2263.98,3.04,271315.7298,Yes
1. Good,3/31/14,10,rent,Business,57.2,Citigroup,,878.22,2.38,292596.7086,Yes
1. Good,3/30/14,10,rent,Consumer,42.9,Wells Fargo,1200,43500,80.56,466888.0074,Yes
1. Good,3/29/14,7,own,Consumer,28.7,,1300,26400,46.56,284855.1916,Yes
1. Good,3/28/14,10,mortgage,Consumer,50.6,Bank of America,1674,3000,9.09,381786.37,No
1. Good,3/27/14,5,mortgage,Consumer,38.5,Wells Fargo,1400,19500,52,283837.528,Yes
1. Good,3/26/14,4,rent,Consumer,52.4,Citigroup,3780,15000,37.88,192905.7736,Yes
